id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
23,COMP_M,SimpleCase,ServiceA,M.A,0,13,0,8,Sensor,4.938271604938271,31.00188499999999,35.94015660493826,27.0,31.00188499999999
27,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,32.00005,40.98881404494382,31.0,32.00005
26,COMP_M,SimpleCase,ServiceA,M.A,0,11,0,6,Sensor,10.0,32.0000518707483,42.0000518707483,30.0,32.0000518707483
17,SINK_M,SimpleCase,Actuator,M.B,8,1,3,1,ServiceA,0,32.00014939703154,32.00014939703154,29.876687069525673,32.00014939703154
19,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,33.00015394248609,33.00015394248609,30.988780711610488,33.00015394248609
24,COMP_M,SimpleCase,ServiceA,M.A,0,14,0,9,Sensor,5.0,33.00205277777777,38.00205277777777,28.0,33.00205277777777
28,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,3,Sensor,9.876543209876543,34.000068859649126,43.87661206952567,32.0,34.000068859649126
15,SINK_M,SimpleCase,Actuator,M.B,12,1,7,1,ServiceA,0,34.00015848794063,34.00015848794063,29.0646661392405,34.00015848794063
29,COMP_M,SimpleCase,ServiceA,M.A,0,9,0,4,Sensor,9.937888198757763,35.00007666666667,44.93796486542443,33.0,35.00007666666667
18,SINK_M,SimpleCase,Actuator,M.B,9,1,4,1,ServiceA,0,35.000163033395175,35.000163033395175,31.937906532091098,35.000163033395175
12,SINK_M,SimpleCase,Actuator,M.B,4,1,14,1,ServiceA,0,36.00016757884972,36.00016757884972,27.286822034252296,36.00016757884972
20,SINK_M,SimpleCase,Actuator,M.B,15,1,10,1,ServiceA,0,37.28702628730919,37.28702628730919,31.970494856954634,37.28702628730919
22,SINK_M,SimpleCase,Actuator,M.B,10,1,5,1,ServiceA,0,38.938574650535685,38.938574650535685,36.93856534317638,38.938574650535685
31,COMP_M,SimpleCase,ServiceA,M.A,0,10,0,5,Sensor,8.938547486033519,39.00002619047619,47.93857367650971,37.0,39.00002619047619
30,COMP_M,SimpleCase,ServiceA,M.A,0,12,0,7,Sensor,5.063291139240507,39.000175,44.063466139240504,36.0,39.000175
25,COMP_M,SimpleCase,ServiceA,M.A,0,4,0,14,Sensor,2.2857142857142856,39.00227441520467,41.28798870091895,29.0,39.00227441520467
21,SINK_M,SimpleCase,Actuator,M.B,16,1,11,1,ServiceA,0,39.93857919599023,39.93857919599023,34.03316540052962,39.93857919599023
14,SINK_M,SimpleCase,Actuator,M.B,2,1,12,1,ServiceA,0,41.28719295397586,41.28719295397586,30.30000335249042,41.28719295397586
32,COMP_M,SimpleCase,ServiceA,M.A,0,15,0,10,Sensor,4.968944099378882,42.00035075757575,46.96929485695463,38.0,42.00035075757575
27,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,42.287197499430405,42.287197499430405,40.98881404494382,42.287197499430405
35,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,43.000008333333334,51.988772378277154,42.0,43.000008333333334
23,SINK_M,SimpleCase,Actuator,M.B,13,1,8,1,ServiceA,0,43.2872762873092,43.2872762873092,35.94015660493826,43.2872762873092
33,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,5.031446540880503,44.00051885964912,49.03196540052962,39.0,44.00051885964912
26,SINK_M,SimpleCase,Actuator,M.B,11,1,6,1,ServiceA,0,44.28728083276374,44.28728083276374,42.0000518707483,44.28728083276374
36,COMP_M,SimpleCase,ServiceA,M.A,0,11,0,6,Sensor,10.0,45.0000268707483,55.0000268707483,43.0,45.0000268707483
